LAT,LON,SPEED,COURSE,HEADING,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,DWT,DATETIME,PORT,date,week_nb,ship_type,port,is_parked,LAT_lag,LON_lag,vessel_distance
59.92145,30.002,109,291,292,KOTKA,FI,187,FINNMILL,7,5622,26,11234,2016-12-15T09:57:04Z,st_petersburg,2016-12-15,50,Cargo,St. Petersburg,0,59.91888,30.01486,772.4453398975653
54.66213,18.93311,166,204,206,GDANSK,FI,187,FINNPULP,7,5628,26,11170,2016-12-19T06:25:02Z,gdansk,2016-12-19,51,Cargo,Gdańsk,0,54.67507,18.94194,1548.580664144582
59.90843,30.06649,90,112,114,ST PETERSBURG,FI,153,SEAGARD,7,6046,20,7226,2016-12-20T01:57:03Z,st_petersburg,2016-12-20,51,Cargo,St. Petersburg,0,59.91272,30.04566,1256.7947854232602
59.9085,30.066,97,112,113,RULED,FI,158,EIRA,7,6065,24,19625,2016-12-19T14:49:03Z,st_petersburg,2016-12-19,51,Cargo,St. Petersburg,0,59.91333,30.043,1391.6816939845758
55.72672,21.08698,100,293,291,KUNDA,FI,82,PRIMA FORTUNA,7,6220,13,3015,2016-12-18T00:51:06Z,klaipeda,2016-12-18,51,Cargo,Klaipeda,0,55.71674,21.11054,1848.2896958184676
54.45842,18.69403,112,46,48,STORD,FI,105,MERI,7,6223,18,4359,2016-12-16T12:57:02Z,gdansk,2016-12-16,51,Cargo,Gdańsk,0,54.4373,18.65869,3280.2167206162694
54.78958,18.99259,128,305,306,ROTTERDAM,SE,169,BALTICO,8,6333,24,25000,2016-12-19T05:01:02Z,gdansk,2016-12-19,51,Tanker,Gdańsk,0,54.45685,18.99749,37040.72682764124
54.66795,19.81384,131,307,306,SLAGEN,SE,169,BONITO,8,6338,23,25049,2016-12-16T13:55:03Z,kalingrad,2016-12-16,51,Tanker,Kalingrad,0,54.63328,19.92887,8353.539981649561
54.42949,18.95248,141,69,66,PL GDN > SE STO,FI,139,SUULA,8,6349,21,14665,2016-12-20T01:05:02Z,gdansk,2016-12-20,51,Tanker,Gdańsk,0,54.42691,18.92613,1730.3526996621401
55.83518,20.86139,177,146,146,KLAIPEDA,FI,141,LINDA,7,6500,22,11487,2016-12-15T12:59:07Z,klaipeda,2016-12-15,50,Cargo,Klaipeda,0,55.8541,20.839,2528.6634509476394
